category1;category2;السياق بأكمله;المتوقع
general_knowledge;CraftsandHobbies;رسمت زهرة بإبرة ملونة على قماش أبيض.هذه المهارة التقليدية تسمى [MASK].;التطريز
everyday_situation general_knowledge;CraftsandHobbies;قصصت قطعة من الخشب بالمِنشار وصقلتها بورق الزجاج.ابي هو من علمني حرفة [MASK].;النجارة
general_knowledge;CraftsandHobbies;ضبطت العدسة والتقطت صورة لغروب الشمس.قررت أن أدرس فن [MASK].;التصوير
everyday_situation general_knowledge;CraftsandHobbies;خلطت المكونات في وعاء ووضعتها في الفرن.أمي تعلمني أسرار فن [MASK].;الطبخ
everyday_situation general_knowledge;CraftsandHobbies;كانت سلسبيل تدخل مكعبات الحروف و الاحجار في خيط.هوايتها المفضلة هي صناعة [MASK].;الإكسسوارات
everyday_situation;CraftsandHobbies;ملأت ليلى الصورة بالألوان الزاهية باستخدام أقلام التحديد.كانت تحب [MASK].;التلوين
everyday_situation general_knowledge;CraftsandHobbies;اذابت روزا الشمع وصبته في قوالب مع فتائل.تعلمت على صديقتها صناعة [MASK].;الشموع
everyday_situation general_knowledge;CraftsandHobbies;استخدمت إبرة معقوفة لصنع غطاء وسادة من الخيط.تعلمت صناعة [MASK].;الكروشيه
everyday_situation general_knowledge;CraftsandHobbies;شكلت الطين بيدي لصنع كوب ثم أحرقته في الفرن.أفتخر بأول قطعة [MASK].;خزفية فخار
everyday_situation general_knowledge;CraftsandHobbies;قصت دلال القماش وخيطته ليكون فستاناً.منذ صغرها كانت تحلم بان تكون مصممة [MASK].;أزياء
everyday_situation general_knowledge;CraftsandHobbies;اختار سامي وروداً ملونة وأوراقاً خضراء ورتبتها في إناء زجاجي مثلما كانت تفعل المدربة.كانت هذه اول ورشة يشارك فيها لتعلم [MASK].;تنسيق
everyday_situation general_knowledge;CraftsandHobbies;ذوبت الزيوت الطبيعية وأضفت العطور قبل صب الخليط في قوالب.هواية صناعة [MASK].;الصابون
general_knowledge;Wildlife;في حديقة الحيوان، يتجول مخلوق ضخم يشتهر بشجاعته وكبريائه، يجذب انتباه الجميع.اسم هذا الحيوان هو [MASK].;الأسد
general_knowledge;Wildlife;في يوم حار، يظهر حيوان ضخم يرش الماء على ظهره بواسطة خرطومه في حديقة الحيوانات.يتجمع الأطفال حوله معجبين، إسم هذا الحيوان هو [MASK].;الفيل
general_knowledge;Wildlife;تعيش الدلافين في مجموعات.تتميز هذه الكائنات ب [MASK].;ذكائها
everyday_situation general_knowledge;Music(instruments,singing);كان يحب سماع موسيقى الفلامينكو.في يوم من الأيام كان مارا بمحل لبيع الالات الموسيقية و اشترى [MASK].;جيتار
general_knowledge;Wildlife;يمكن للحيتان أن تصدر أصواتاً معقدة للتواصل عبر مسافات طويلة في أعماق المحيط.تُعتبر من أكبر الكائنات [MASK].;البحرية
general_knowledge;Wildlife;تعيش الأسماك في الماء.يعتبر الماء [MASK].;موطنها البيئة موطنا
general_knowledge;Wildlife;ابتلع الطائر الدودة.تعتبر هاذه الحشرات الصغيرة مصدر [MASK].;غذاء
general_knowledge;Wildlife;الضفادع ليست مصنوعة من الخشب.هذا يشير إلى أن الكائنات الحية تختلف عن [MASK].;الاشياء الجماد
general_knowledge;Wildlife;الغابة هي منطقة واسعة مغطاة بالأشجار والنباتات.هذا يجعلها موطنًا للعديد من [MASK].;الحيوانات الكائنات
general_knowledge;Wildlife;يعيش الحوت في المحيط.يعتبر جزءًا مهمًا من النظام [MASK].;البيئي البحري
general_knowledge;Wildlife;في الغابة، يتأرجح مخلوق ذو ذيل طويل بين الأغصان، يبحث عن الفاكهة اللذيذة.حركته مرحة، اسم هذا الكائن هو [MASK].;القرد
everyday_situation general_knowledge;FarmingAnimals;في الحقل، يتجمع قطيع من الحيوانات الصغيرة التي تاكل العشب في هدوء.دائما ما يحضر مارك كلبا ليحرس [MASK].;القطيع الخراف الخرفان الاغنام

everyday_situation general_knowledge;FarmingAnimals;كانت تقف في الحقل تأكل العشب الطازج وتعطي كميات كبيرة من الحليب يومياً.يحتاج المزارع إلى حلب [MASK].;البقرة
general_knowledge;FarmingAnimals;كانت تتسلق الصخور بسهولة وتأكل الأوراق من الأشجار العالية.يصنع الجبن من حليب [MASK].;الماعز
everyday_situation general_knowledge;FarmingAnimals;كانت تنقر الحبوب على الأرض وتضع بيضة كل صباح في العش.يبني المزارع بيتا جديدًا لـ [MASK].;الدجاج الدجاجة
everyday_situation general_knowledge;FarmingAnimals;كان يجر المحراث في الحقل وينهض باكراً مع شروق الشمس.كان الفلاح يعتني بحوافر [MASK].;البغل الحمار الحصان الثور
everyday_situation general_knowledge;FarmingAnimals;كانت تسبح في البركة وتنظف ريشها بمنقارها بعد الأكل. يضع المزارع سياجًا حول المكان ليحمي [MASK].;البط
general_knowledge;FarmingAnimals;كان يصيح عند الفجر ليوقظ جميع سكان المزرعة.لمعرفة الوقت، يعتمد المزارعون على [MASK].;الديك
everyday_situation general_knowledge;FarmingAnimals;كان يبحث عن الطعام في الوحل ويأكل بقايا الخضروات.يبنى سمير حظيرة خاصة ل [MASK].;الخنزير الخنازير
general_knowledge;FarmingAnimals;كان يقفز بين صناديق القش ويأكل الجزر بسرعة.يبيع المزارع صغار [MASK].;الارنب الأرانب
everyday_situation general_knowledge;FarmingAnimals;كانت تركض بسرعة فائقة في الحقل وتخبئ رأسها في الرمال عندما تشعر بالخطر.يبيع المزارع بيض [MASK].;النعامة النعام
general_knowledge;FarmingAnimals;كانت تنسج شرنقة حريرية ناعمة حول نفسها بأسنانها الدقيقة.يخصص المزارع غرفة دافئة لتربية دودة [MASK].;القز
general_knowledge;FarmingAnimals;كانت تحمل الرسائل الصغيرة في ساقها وتعود إلى السقيفة كل مساء.يستخدم المزارعون [MASK].;الحمام
general_knowledge;Wildlife;في الغابة الكثيفة، يظهر حيوان بني اللون معروف بمكره.مشهور في حكايات كليلة و دمنة، إنه [MASK].;الثعلب
everyday_situation general_knowledge;Pets;كان يهز ذيله بسعادة عند سماع صوت صاحبه، يحضر له حذاءه كل صباح.كان الاطفال يفرحوم عندا يخرج [MASK].;الكلب
general_knowledge;Wildlife;في السهول، يطارد حيوان سريع فرائسه بمهارة. ويعرف على انه اسرع حيوان في العالم.هذا الحيوان يعكس جمال الطبيعة، إنه [MASK].;الفهد
general_knowledge;Wildlife;في السافانا والغابات، تثير حيوانات ذات رقاب طويلة فضول السياح بينما هي تبحث عن الطعام بين الأشجار.تمد رأسها عاليًا لتلتقط أوراق الأشجار بسهولة، إنها [MASK].;الزرافات الزرافة
general_knowledge;Wildlife;على الشاطئ، تنطلق مجموعة من الكائنات البحرية في الهواء قبل أن تغوص مرة أخرى.يسر الجميع بمشاهدتها، إنها [MASK].;الدلافين
الدلفين
everyday_situation general_knowledge;Wildlife;كانت حنان تحب زيارة البحيرة.كانت تستمتع بمشاهدة [MASK].;البط
general_knowledge;Wildlife;بالقرب من بركة ماء، يُسمع صوت نقيق مستمر.الحيوان الدي يصدر هذا الصوت اسمه [MASK].;الضفدع
general_knowledge;FarmingAnimals;بين الحقول، يقفز حيوان صغير بأذنين طويلتين، ينشر البهجة حوله و مشهور على انه يحب اكل الجزر.يعتبر محبوب الاطفال الصغار، إنه [MASK].;الأرنب
general_knowledge;Wildlife;في الصحراء، يسير حيوان ببطء ولديه سنام.يتميز بقدرة تحمل عالية، انه [MASK].;الجمل
general_knowledge;Wildlife;في الجبال، يطير طائر عاليًا قبل أن يهبط بسرعة لالتقاط فريسته.يستخدم نظره الحاد لتحديد، إسم هذا الكائن هو [MASK].;النسر الصقر
general_knowledge;Wildlife;في الأدغال، يزحف حيوان مخطط بالبرتقالي والأسود بين الأعشاب العالية.يتحرك بصمت قبل أن ينقض على فريسته بقوة، إنه [MASK].;النمر
general_knowledge;Wildlife;في سماء الليل، يحلق طائر كبير بصمت وكأنه يراقب العالم لديه عينان ساحرتان و يعرف بالحكمة.فرح رامي لرؤيته لاول مرة، اسم هذا الكائن هو [MASK].;البومة
everyday_situation general_knowledge;Wildlife;صباحًا، يتردد صوت تغريد و نقر عند نافذتي.تفرح نادية دائما عند سماع صوت [MASK].;العصفور العصافير
everyday_situation general_knowledge;Wildlife;في الغابة، يتحرك مخلوق صغير بخفة بين الأشجار ويجمع الجوز استعدادًا لفصل الشتاء.يلاحظه الجميع بفضول، انه [MASK].;السنجاب
general_knowledge;Pets;يمكن أن تكون الحيوانات الأليفة رفقاء رائعين.يعتبرون مفيدين كثيرا للصحة [MASK].;النفسية العقلية
everyday_situation general_knowledge;Pets;ذهب يوسف إلى الحديقة مع كلبه.أمضى ساعات يلعب معه بواسطة [MASK].;الكرة العصا الطابة
everyday_situation general_knowledge;Pets;نبح كلب على قطة في الشارع.هذا جعل القطة [MASK].;تهرب تخاف ترتعب ترتعش تفزع
everyday_situation general_knowledge;Pets;أرادوا إضافة حيوان أليف وودود لعائلتهم. بعد التفكير مليًا، قرروا تبني [MASK].;قطة
everyday_situation general_knowledge;Pets;كان يقضي اغلب اوقاته مع حيوانه الوفي.نزهته لم تكن كاملة اليوم بدون [MASK].;كلبه
general_knowledge;Wildlife;في الحديقة، تحوم حشرة صغيرة بين الزهور تمتص الرحيق.تساهم في التوازن البيئي، إنها [MASK].;النحلة
general_knowledge;Pets;في الحديقة، يتحرك مخلوق صغير ببطء و معروف بانه فاز على الارنب في سباق السرعة بفضل اصراره.بتجول دائما في حديقة المنزل، إنه [MASK].;السلحفاة
everyday_situation general_knowledge;Pets;ماتت قطته في حادث على الطريق.قام بجلب الادوات لحفر [MASK].;قبر
everyday_situation general_knowledge;FarmingAnimals;راعي البقر يركب حصانًا خارج الحظيرة ويدخل إلى منطقة مسيجة.يلقي بحبل حول عنق [MASK].;ثور الثور عجل العجل الحيوان
everyday_situation general_knowledge;Pets;كانت تلعق فراءها بلسانها الخشن وتتمدد تحت أشعة الشمس.اعجبت منال كثيرا ب [MASK].;القطة
everyday_situation;Pets;كان يهز ذيله بحماس كلما سمع صوتي عند الباب.أخذت معي [MASK].;الكلب كلبي
everyday_situation general_knowledge;Pets;كانت تسبح بين النباتات المائية وتفتح فمها لتأكل الحبيبات الصغيرة.نظفت حوض [MASK].;الاسماك السمكة السمك
everyday_situation general_knowledge;Pets;كان يتحرك ببطء ويختبئ داخل درعه عند الشعور بالخطر.قامت ابتسام بتنظيف درع [MASK].;السلحفاة
everyday_situation general_knowledge;Pets;كان يخزن الطعام في خديه ويدور في عجلة ليلاً.سعد اخي كثيرا ب [MASK].;الهامستر
everyday_situation general_knowledge;Pets;كان يقلد صوت جرس الهاتف ويقول مرحباً عندما أدخل الغرفة.كانت نهى قد علمت [MASK].;الببغاء
general_knowledge;Pets;كان يغير لونه من الأخضر إلى البني عندما ينتقل بين الأغصان.راقبته دانا بدهشة وهو يندمج مع محيطه، فقد كانت هذه أول مرة ترى فيها [MASK].;الحرباء
everyday_situation general_knowledge;Pets;كان يتدحرج إلى كرة شوكية عندما يسمع صوتاً عالياً.أطعمت حنان [MASK].;القنفذ
everyday_situation general_knowledge;Pets;في منتصف الليل، سمعت صوت خدش على الباب.عندما فتحته، كان هناك [MASK].;قط
everyday_situation general_knowledge;Pets;كان الحارس يسمع نباحًا متكررًا قرب باب المنزل.عندما فتح الباب ركض نحوه الـ [MASK].;الكلب
everyday_situation general_knowledge;Pets;كلما تكلمت سارة في الغرفة سمعت صوتًا يقلد كلماتها.التفتت نحو القفص لترى [MASK].;الببغاء
everyday_situation general_knowledge;Pets;في الحديقة، لاحظ الطفل أذنين طويلتين تختفيان في جحر تحت شجرة كبيرة.أحضر جزرة ووضعها بجانب الجحر منتظرًا خروج [MASK].;الأَرْنَب
everyday_situation general_knowledge;Pets;أراد الفارس أن يشارك في السباق في اليوم التالي.ذهب إلى الإسطبل وبدأ بتنظيف وتمشيط [MASK].;الحِصَان
everyday_situation general_knowledge;Pets;خططت العائلة لرحلة برية في الصحراء حيث الماء شحيح.حملوا الأمتعة والماء على ظهر [MASK].;الجَمَل الناقة
everyday_situation general_knowledge;Pets;ذهبت سارة إلى الحقل كل صباح وهي تحمل دلوًا كبيرًا قرب المكان الذي يُسمع فيه صوت الخوار.كانت تحب حلب [MASK].;البقرة
everyday_situation general_knowledge;Pets;ركض أحمد خلف القطيع الصغير وهو يلهو في المرج.ضحك وهو يلمس الصوف الناعم على ظهر الـ [MASK].;الخروف الخرفان
everyday_situation general_knowledge;Pets;سمعت ليلى أصوات النقنقة تأتي من جانب الساحة.اقتربت لترى البيض تحت جناح الـ [MASK].;الدجاجة الدجاج
general_knowledge;Pets;بينما كان أحمد في المزرعة، سمع صوت ثغاء قادم من قرب الصخور ورأى حيوانًا يقفز بخفة.أشار المزارع مبتسمًا وقال: هذه عادة الـ [MASK].;الماعز
everyday_situation general_knowledge;Pets;في الطريق الترابي بجانب الحقل سمعوا صوت نهيق متكرر يقترب شيئًا فشيئًا.بعد قليل ظهر [MASK].;حمار
everyday_situation general_knowledge;Pets;استيقظت ليلى على زقزقة خفيفة قادمة من بين الأغصان، وكانت الأوراق تتحرك مع الريح.رفعت رأسها لترى عشًا صغيرًا وفيه [MASK].;عصفور عصافير
everyday_situation general_knowledge;Insects&SmallCreatures;كانت ترفرف بجناحيها الزرقاء بين الزهور، تتنقل بخفة من بتلة إلى أخرى، كأنها ترسم لوحات ملونة في الهواء.جلست ليلى تراقب [MASK].;الفراشة الفراشات الفراش
everyday_situation general_knowledge;Insects&SmallCreatures;كان ينسج شبكة معقدة بين زوايا القفص الزجاجي.جلس كريم يراقب [MASK].;العنكبوت
everyday_situation general_knowledge;Pets;كان يلف أذرعه حول الأصداف في الحوض المائي، يتحسسها بلطف كأنه يتحقق من أماكن اختبائه. اقترب يوسف من الزجاج بدهشة، يراقب [MASK].;الأخطبوط
everyday_situation general_knowledge;FarmingAnimals;كان يصهل بقوة عندما يرى دلو التفاح، ويهز رأسه بحماس منتظرًا أن يقترب منه أحد.كانت فرح تضحك كل مرة، وتُقدم بيديها التفاح ل [MASK].;الحصان حصانها
everyday_situation general_knowledge;FarmingAnimals;كانت تنقر الحبوب على الأرض وتضع بيضة كل صباح.بنيت قناً جديداً لـ [MASK].;الدجاجة الدجاج
everyday_situation general_knowledge;Pets;كانت تسبح في البركة وتنظف ريشها بمنقارها.أطعمت لوسي [MASK].;البطة البط
everyday_situation general_knowledge;Pets;كان يسرع بين الأنابيب البلاستيكية ويختبئ في الزوايا المظلمة. وضعت بعض الجبن في قفص [MASK].;الفأر الهامستر
everyday_situation general_knowledge;Pets;على ضفاف نهر السين، كان يتسلل بين صناديق القمامة ليلاً.اندهش السائحون بكثرة [MASK].;الجرذان
everyday_situation general_knowledge;Insects&SmallCreatures;كانت تحمل قطعة طعام أكبر من حجمها بثلاث مرات وتتسلق جدار المطبخ.وجدت سلسلة من [MASK].;النمل
general_knowledge;Insects&SmallCreatures;كانت تتنقل بين أزهار الحديقة وتجمع الرحيق.تعتبر [MASK].;النحلة
everyday_situation general_knowledge;Insects&SmallCreatures;كانت ترفرف بجناحيها الملونين وتتذوق رحيق زهرة اللافندر.قمت بالتقاط صورة ل [MASK].;الفراشة
general_knowledge;Insects&SmallCreatures;كانت تتحرك بانقباضات عضلية وتختبئ في التربة الرطبة.اسمها [MASK].;الدودة
everyday_situation general_knowledge;Insects&SmallCreatures;كان يقفز بين أعشاب الحقل ويصدر أصوات طقطقة بجناحيه. حاول الأطفال الإمساك بـ [MASK].;الجرادة
everyday_situation general_knowledge;Insects&SmallCreatures;كانت تحوم حول الفاكهة.أغلقت النافذة لمنع دخول [MASK].;الذباب الذبابة
everyday_situation general_knowledge;Insects&SmallCreatures;كانت تطن بجانب أذني وتلسع جلد يدي لتمتص الدم.استخدمت رذاذاً طارداً لـ [MASK].;الباعوض الناموس
everyday_situation general_knowledge;Insects&SmallCreatures;كان يختبئ في شقوق السرير ويخرج ليلاً ليمتص الدم.اضطررت لتعقيم الغرفة بسبب وجود [MASK].;البق
everyday_situation general_knowledge;Insects&SmallCreatures;كان يهرب بسرعة عندما أشعلت ضوء المطبخ ويختبئ تحت الثلاجة.كان المطبخ مليئا ب [MASK].;الصراصير
general_knowledge;Insects&SmallCreatures;كانت تتهيأ بصمت لمرحلة التحول الكبرى، حين تنسج شرنقتها.كانت هذه اللحظة بداية رحلة جديدة، تتحول فيها من [MASK].;يرقة
everyday_situation general_knowledge;Insects&SmallCreatures;كان يزحف ببطء ويترك وراءه خطاً لامعاً من المخاط.اعد الاطفال سباقا ل [MASK].;الحلزونات الحلزون
everyday_situation general_knowledge;Insects&SmallCreatures;كانت تتحرك بسرعة مذهلة بجسمها الطويل و أرجلها الكثيرة تحت صخرة الحديقة.صرخت منال عندما رأت [MASK].;أم أربع وأربعين
everyday_situation general_knowledge;Insects&SmallCreatures;بعد نزهة في الغابة، وجدت حشرة صغيرة ملتصقة بجلد ابني تمتص الدم.اضطررنا لاستخدام ملقط لإزالة [MASK].;القرادة
everyday_situation general_knowledge;CraftsandHobbies;في حصة الاشغال اليدوية، كانت تريد صنع نجمة.وجدت الاوراق لكن لم تجد [MASK].;المقص مقص مقصا
everyday_situation general_knowledge;Insects&SmallCreatures;سمع جيف طنيناً ق ثم شعر بلسعة.ظهرت بقعة حمراء مثيرة للحكة، سببها لسعة [MASK].;النحلة الدبور
everyday_situation general_knowledge;FarmingAnimals;شوهد رجل يركب حصانًا و يطارد عجلًا .في النهاية امسك العجل باستخدام [MASK].;حبله الحبل
general_knowledge;SymbolsandIcons;كان يريدون تصميم شعار يعبر عن السلام.الطائر الذي يعبر عنه هو [MASK].;الحمام الحمامة
general_knowledge;FarmingAnimals;تحمس الجمهور عند رؤية الثور في العرض.كان المروض يحمل قطعة قماش لونها [MASK].;أحمر
general_knowledge;AirTransport(planes);كانت الطائرة مليئة بالناس.هذا يعني أن الرحلة كانت محجوزة ب [MASK].;الكامل
general_knowledge;AirTransport(planes);كانت تحلق على ارتفاع 35 ألف قدم وتترك خطاً أبيض في السماء.استغرق تصنيع [MASK].;الطائرة
general_knowledge;AirTransport(planes);كانت تحوم فوق مكان الحادث لتقديم الإسعافات الجوية.أنقذت [MASK].;المروحية
everyday_situation general_knowledge;AirTransport(planes);كان يرتفع ببطء بفعل الهواء الساخن من الموقد.استمتع الركاب برحلة [MASK].;المنطاد
general_knowledge;AirTransport(planes);كانت تنزلق في الهواء بدون محركات تعتمد على تيارات الهواء.يتطلب قيادة الطائرة [MASK].;الشراعية
general_knowledge;AirTransport(planes);تنتفخ تلقائيًا عند القفز من الطائرة، لتبطئ سقوط الجسم وتضمن هبوطًا آمنًا على الأرض. تُستخدم [MASK].;المظلة
general_knowledge;AirTransport(planes);كان يصدر صوتًا مدويًا ويدفع الطائرة بقوة هائلة.تم تطوير المحرك [MASK].;النفاث
general_knowledge;AirTransport(planes);كان مضاءً بمصابيح زرقاء لتوجيه الطائرات ليلاً.تم توسيع [MASK].;مدرج المدرج المهبط شريط الهبوط
general_knowledge;AirTransport(planes);كان يوجه حركة الإقلاع والهبوط بمساعدة الرادارات.كان يعمل في برج [MASK].;المراقبة
general_knowledge;AirTransport(planes);شاركت المغنية الأمريكية كاتي بيري في رحلة فضائية قصيرة نظمتها شركة Blue Origin.كانت هذه اول رحلة له على متن [MASK].;صاروخ الصاروخ
general_knowledge;AirTransport(planes);كانت تحمل شحنة ضخمة من المعدات الطبية عبر القارات.بدأ هدير المحركات يعلو فوق الصحراء الهادئة، معلناً انطلاق طائرة [MASK].;شحن الشحن
everyday_situation general_knowledge;AirTransport(planes);وصلوا إلى القمة يلهثون، فتح قائد الفريق حقيبته، ثم التفت إلى رفاقه قائلاً بابتسامة مغامِرة: حان وقت العودة... لكن على طريقتنا.ثم أخرج كلٌ منهم من حقيبته مظلة لكي [MASK].;يقفز
general_knowledge;AirTransport(planes);كان يقلد ظروف الطيران الحقيقية بدقة متناهية.تدرب الطيارون الجدد على جهاز [MASK].;محاكاة المحاكاة
general_knowledge;AirTransport(planes);كان يرصد الأجسام الطائرة على بعد مئات الكيلومترات.ساعد جهاز [MASK].;إنذار الإنذار الرادار
general_knowledge;AirTransport(planes);في قلب غرفة القيادة الحديثة، يجلس الطيارون محاطين بشاشات وأجهزة متطورة.يعتمد الطيارون على نظام [MASK].;الملاحة
everyday_situation general_knowledge;AirTransport(planes);استغرقت الرحلةعلى متن الطائرة ساعتين.نزل الركاب عبر [MASK].;سلم السلم جسر
general_knowledge;AirTransport(planes);كان يسجل جميع بيانات الرحلة وأصوات قمرة القيادة بدقة.بعد الحادث عثر الخبراء على الصندوق [MASK].;الاسود
everyday_situation general_knowledge;AirTransport(planes);كانت مضيفة الطيران تسير بين الاروقة.تاكدت من ان الجميع ربط [MASK].;الاحزمة حزام احزمتهم
general_knowledge problem_solving;AirTransport(planes);العطل في أحد المستشعرات الحيوية التي تتحكم في خلوص العجلات تسبب في عدم قدرة الطائرة على استخدام نظام الهبوط الآلي الاعتيادي.ا اضطر القائد لاتخاذ قرار سريع بالتوجه إلى مهبط [MASK].;الطوارئ طوارئ
everyday_situation general_knowledge;ToolsandTechnology;قرر رامي ان يسجل صوته و هو يقرا كتابا.حرصا على ان يكون عمله ذو جودة عالية فقام بشراء [MASK].;ميكروفون
everyday_situation general_knowledge;ToolsandTechnology;كان بلال يحب التصوير.عند ظهر قوس قزح سارع الى منزله لاحضار [MASK].;الكاميرا
general_knowledge;CraftsandHobbies;قراءة كتاب هي طريقة رائعة للذهاب في رحلة دون مغادرة منزلك.تساعد في تنمية [MASK].;الخيال العقل الذكاء الابداع الفكر
general_knowledge;CraftsandHobbies;تُعد الكتب مصادر معرفة.تساعد في توسيع الأفق وزيادة [MASK].;الثقافة الوعي الفكر العقل الفهم
general_knowledge;VisualArts(painting,sculpture);امتلأت اللوحة بألوان زاهية وضربات فرشاة جريئةكانت فاطمة موهوبة في فن [MASK].;الرسم
everyday_situation general_knowledge;VisualArts(painting,sculpture);كانت السطح الأبيض ينتظر الفرشاة لتملأه بالألوان المائية.قام بتعليق [MASK].;اللوحة لوحته
